centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
55,0.09,1.0,0.798414,0.5,0.0543695,0.0645335,3.8103829401232506e-05,9.628806424472133e-05,0.010351368738462294,9.595495093924217e-05,9.399829880367105e-05,9.629427518263666e-05,0.001985034223670292,9.567517059119408e-05,0.010313264909061062,0.00013593654374651414,0.001891035924866621,0.00013574360279808195,0.1442403064152926,0.00020179872628398892,0.1435818985725402,0.0003904096933508908,0.14410148258373137,0.00017926692616373967
15,0.082,1.0,0.866228,0.75,0.052610625,0.048714600000000004,-3.3022045947182025e-06,5.6782477852860443e-05,0.002027426013242643,5.6751153809315456e-05,-6.917408510205762e-05,5.677945761199105e-05,0.00012901527838617152,5.670833517631946e-05,0.002030728217837361,8.028040389658717e-05,0.00019818936348822914,8.024800362115982e-05,0.08446805943755022,0.0002799955679584605,0.0856051525222592,0.0005427407268284272,0.08470720041195863,0.00024883394826963866
35,0.079,1.0,0.860267,0.5,0.0534,0.0583305,2.1302803692032423e-05,6.444908304630449e-05,0.004456496574464767,6.438044927179104e-05,1.4608341013121368e-05,6.444611510443464e-05,0.0007496963708373914,6.428872799455385e-05,0.004435193770772735,9.109624884673962e-05,0.0007350880298242701,9.102934855974621e-05,0.13857033268424188,0.00020826617181442258,0.13860624831512025,0.0004038443494150535,0.13857787914260455,0.00018510129890528221
55,0.09,1.0,0.798414,2.0,0.217478,0.258134,5.058198126009444e-05,9.688491950926822e-05,0.01080531511977836,9.65467424768755e-05,1.660520767863195e-05,9.689196621139841e-05,0.003131354005842279,9.626418835682779e-05,0.010754733138518265,0.00013677704891981512,0.0031147487981636472,0.00013658274809180546,0.20613618480284088,0.00019819506238899116,0.1978119190453289,0.00038451489066928504,0.20438288626328174,0.00017617196386207046
25,0.079,1.0,0.864216,0.5,0.0440215,0.0463736,8.825940258633478e-06,4.900148670564126e-05,0.0030028653026742203,4.8970821214970666e-05,-1.1036559577006158e-06,4.900171302255049e-05,0.00037091591908146895,4.892034468618725e-05,0.0029940393624155867,6.927688669268964e-05,0.00037201957503916956,6.924137493839765e-05,0.11295880669095397,0.00019639814660769655,0.11270644933257726,0.0003809563182252114,0.112905805217995,0.00017456535536649944
55,0.09,1.0,0.798414,1.0,0.108739,0.129067,9.811415331035862e-05,9.637521410485494e-05,0.010623888712117406,9.603239043381475e-05,0.00011921998013200863,9.637061467234502e-05,0.0024168001308478375,9.574578944699217e-05,0.010525774558807047,0.00013605293788150722,0.0022975801507158287,0.00013584753059644978,0.16486018317773,0.00020065094930692877,0.16198211323919365,0.0003886681050872978,0.16425380242017731,0.00017829388317244525
45,0.074,1.0,0.803845,0.25,0.02422855,0.029788,-4.748736516980354e-05,8.875154825012007e-05,0.006644714073822672,8.857043534800239e-05,4.724997698565011e-05,8.87459898594129e-05,0.0012087445672264079,8.839312219909738e-05,0.006692201438992476,0.00012538564245769156,0.0011614945902407579,0.0001252565158713573,0.12890288330329105,0.00022065312051492932,0.12890517515769845,0.0004294287159434051,0.1289033622156886,0.00019626054051838683
55,0.09,1.0,0.798414,0.75,0.08155425,0.09680024999999999,-4.126934365206672e-05,9.633478451779945e-05,0.010709273674739351,9.59793022235517e-05,-4.2462547552953676e-05,9.633866894371934e-05,0.0022871776688515753,9.569946709237038e-05,0.010750543018391418,0.0001359868271687031,0.002329640216404529,0.00013579222045320282,0.1549420464625598,0.0002012121942966083,0.15177365135539753,0.0003898529227283676,0.1542743043011663,0.00017880212165564534
25,0.079,1.0,0.864216,0.75,0.06603225,0.0695604,-5.380205942300811e-06,4.89994821680942e-05,0.002985922518278478,4.8968889393731225e-05,1.421600425728345e-05,4.900245827203148e-05,0.0003534108974789939,4.892031552321587e-05,0.0029913027242207788,6.927410325075932e-05,0.0003391948932217105,6.924188174503333e-05,0.11871021454561305,0.00019612798457623333,0.11844529919054128,0.00038037053398141333,0.11865457198101502,0.00017431928281841903
35,0.079,1.0,0.860267,1.25,0.1335,0.14582625,0.00012739326329950766,6.454897475039796e-05,0.0044151563097828105,6.448047411228869e-05,9.357962094493401e-05,6.45493366661916e-05,0.0008705502458039358,6.438768103601432e-05,0.0042877630464833024,9.12376111210341e-05,0.0007769706248590018,9.117231122024309e-05,0.16006769026541223,0.00020710259560851105,0.15809234685090987,0.00040195304286362273,0.1596530501569484,0.00018410237990198108
