centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
35,0.02,1.0,0.860267,1.0,0.1068,0.116661,8.477260408459586e-05,6.413360051594608e-05,0.0012376032156549068,6.410904124138515e-05,-2.5555205194993574e-05,6.412732182408196e-05,0.00019468968831599053,6.40826580418662e-05,0.001152830611570311,9.06812432867381e-05,0.0002202448935109841,9.065815168003446e-05,0.1530619283136232,0.00020547128514156952,0.15272016583903442,0.00040742929917625116,0.15299262862043475,0.00018346161993371685
45,0.14,1.0,0.803845,1.0,0.0969142,0.119152,5.419270183928427e-05,8.927693449805852e-05,0.011295807360816097,8.896195679606903e-05,-6.045155852246374e-05,8.927874112709198e-05,0.002465545262923323,8.867139245865946e-05,0.011241614658976813,0.00012603412549923247,0.002525996821445787,0.00012583047904937784,0.156815848741331,0.00022103363248139358,0.15290049304040979,0.00042171140279852296,0.1559705551698044,0.00019577298738595965
45,0.02,1.0,0.803845,1.0,0.0969142,0.119152,-6.429622140263272e-07,8.851972218563485e-05,0.0018716388618598115,8.847354133029127e-05,4.725113849818557e-06,8.852232488912354e-05,0.00044920496687786274,8.841241164327786e-05,0.0018722818240738378,0.00012515314111657258,0.0004444798530280442,0.0001251117761697753,0.1573144696897189,0.00021738187541934178,0.15431289947287435,0.00043163148586675354,0.15670658759777295,0.00019414997766387137
25,0.12,1.0,0.864216,1.0,0.088043,0.0927472,-5.9325064131195124e-05,4.92231010669609e-05,0.004203121724557605,4.917991894538505e-05,-1.2330380878136197e-05,4.922226765997845e-05,0.0005994099371117392,4.911017112153137e-05,0.0042624467886888,6.958144943965231e-05,0.0006117403179898754,6.953157945262465e-05,0.12382280196091502,0.00019722715193243648,0.12338720660763539,0.00037686662630563334,0.12372918688686144,0.00017474417633159278
25,0.04,1.0,0.864216,1.0,0.088043,0.0927472,4.9934970584982746e-05,4.884583863718795e-05,0.0016140744999816733,4.8829525667886217e-05,-3.497781180775309e-05,4.8846513789810786e-05,0.00025947401308210977,4.880265572532136e-05,0.0015641395293966905,6.90669134182277e-05,0.00029445182488986284,6.904839690581105e-05,0.12395744712784242,0.0001947040494176622,0.12426519516846811,0.00038303616459431264,0.12402063334113776,0.00017356729909288334
55,0.08,1.0,0.798414,1.0,0.108739,0.129067,0.0001572839818272889,9.629447394635023e-05,0.009580453963294188,9.597684691933043e-05,-9.676403044927737e-05,9.629780282620275e-05,0.0022483077437862008,9.573398611544586e-05,0.0094231699814669,0.00013595654032513813,0.002345071774235478,0.00013578756543478716,0.16488489672488416,0.00020034484373368644,0.16122968894273212,0.00038924349014218097,0.16411852803349683,0.0001781344116679044
15,0.02,1.0,0.866228,1.0,0.0701475,0.0649528,-1.4787934731873555e-05,5.650044320024909e-05,0.0005020966167771715,5.6489684509958766e-05,-8.962096108797939e-06,5.6504188766976916e-05,-3.5540656511243964e-05,5.648002811061575e-05,0.000516884551509045,7.989608587320939e-05,-2.6578560402446025e-05,7.989190774784457e-05,0.08842362661807933,0.0002771227155620107,0.0892316318037483,0.0005493022069400097,0.08858746470005578,0.0002474192183451215
15,0.14,1.0,0.866228,1.0,0.0701475,0.0649528,7.890110347206555e-05,5.712351826387664e-05,0.0032218400310956123,5.7082113316750616e-05,-7.5103508287316e-05,5.7118753628051645e-05,0.00023845116551942608,5.701671260781706e-05,0.0031429389276235466,8.075558184763333e-05,0.0003135546738067421,8.070599440329366e-05,0.08852843705138616,0.0002824347389313959,0.08824814091191684,0.0005366633436702993,0.08846763313597196,0.0002499354233094761
55,0.12,1.0,0.798414,1.0,0.108739,0.129067,-0.00020334853425754796,9.657556250384324e-05,0.013353790108370518,9.611994494132826e-05,2.4114950135653828e-06,9.657619537214012e-05,0.0031200321192897756,9.577366848876838e-05,0.013557138642628067,0.0001362566808947646,0.0031176206242762104,0.00013601307690201808,0.16480887954905685,0.00020141221451523155,0.16153656965045526,0.00038640709101016887,0.16410828285984372,0.0001786057430891268
25,0.08,1.0,0.864216,1.0,0.088043,0.0927472,6.684848995690057e-05,4.902851847829142e-05,0.0030500314671391875,4.8993377223637794e-05,1.0268180214612909e-05,4.902867113155493e-05,0.0005272152064626759,4.8943085174211273e-05,0.002983182977182287,6.931195160976088e-05,0.000516947026248063,6.927651968233008e-05,0.12406125472587846,0.00019595847299948342,0.1234730846122053,0.0003799504666825916,0.1239376427653635,0.00017415983797879688
